Root,Total Occurrences,Josa Count,Eomi Count,MWE Count,MWE Examples
대,272022,27,11,57,"에 대한, 에 대해, 으로 대한, 을 대한, 에 대하, 에서 대한, 이 대한, 는 대한, 를 대한, 가 대한, 에 대항해, 로 대한, 에게 대한, 으로 대하, 의 대한, 를 대하, 을 대할, 을 대함, 로 대하, 으로 대했, 처럼 대했, 은 대한, 의 대항해, 으로써 대한, 께 대한, 까지 대한, 은 대항해, 을 대하, 나 대한, 를 대할, 와 대한, 의 대함, 도 대한, 의 대하, 부터 대한, 과 대한, 는 대운하, 처럼 대하, 는 대항해, 만 대한, 은 대함, 는 대함, 에게 대해, 으로 대할, 이 대하, 로 대해, 처럼 대해, 으로부터 대한, 로 대했, 의 대운하, 을 대했, 의 대해, 은 대운하, 에게 대하, 을 대해, 으로 대해, 은 대하"
의,170110,20,30,26,"에 의해, 에 의한, 에 의하, 와 의한국시리즈, 과 의하나이, 에게 의해, 에 의함, 의 의하, 으로 의해, 의 의한, 의 의해, 에 의할, 로 의해, 로 의하, 과 의한종, 과 의한속, 과 의하나로, 으로부터 의해방을, 로부터 의해방을, 과 의한종류, 와 의해저생활, 까지 의하타모토,, 과 의한종이, 에서 의하룻밤(, 에서 의하룻밤》, 을 의함"
통,122731,16,6,35,"을 통해, 를 통해, 을 통한, 를 통한, 을 통하, 를 통하, 으로 통한, 을 통할, 도 통할, 이 통하, 로 통하, 에 통하, 가 통하, 를 통할, 으로 통하, 만 통하, 과 통하, 로 통해, 로 통했, 으로 통했, 도 통하, 으로 통해, 에 통해, 는 통하, 와 통하, 은 통하, 로 통한, 에서 통하, 이 통한, 에 통한, 이 통해, 을 통했, 에게 통한, 이 통했, 은 통해"
위,119673,11,6,16,"를 위한, 을 위해, 를 위해, 을 위한, 에 위해, 을 위하, 를 위하, 를 위함, 으로 위해, 의 위해, 의 위한, 에게 위해, 을 위함, 가 위해, 에 위한, 이 위해"
사용,97909,31,268,529,"을 사용하여, 에서 사용하는, 으로 사용한다, 를 사용하여, 로 사용하는, 를 사용하면, 를 사용하기, 를 사용하지만, 를 사용하는, 를 사용하였, 을 사용하기, 이 사용하는, 으로 사용하기, 를 사용하도록, 를 사용한다, 마다 사용하는, 를 사용할수, 을 사용한다, 을 사용하는, 을 사용할수, 가 사용하는, 만 사용했다, 을 사용하면, 를 사용함, 을 사용했던, 을 사용하지, 으로 사용했고, 부터 사용했다, 까지 사용하였, 를 사용했다, 을 사용해이, 으로 사용하고, 로 사용한다, 으로 사용하는데, 을 사용하였, 를 사용하였으나, 을 사용하고, 를 사용한것, 도 사용할수, 를 사용하고, 도 사용하고, 에 사용하도록, 을 사용하며, 를 사용하지, 을 사용했고, 을 사용했다, 를 사용한다(, 를 사용하는지, 을 사용할때, 로 사용하거나, 를 사용하였으며, 을 사용했을, 를 사용하며, 는 사용하지, 을 사용하거나, 로 사용했다, 에서 사용한다, 을 사용해만든, 를 사용할때, 로 사용하고, 만 사용하도록, 은 사용하지, 을 사용했으나,, 이 사용할수, 도 사용한다, 에서 사용하고, 로 사용할수, 을 사용하면서, 까지 사용하고, 를 사용할것, 를 사용할경우, 을 사용하곤, 를 사용함으로써, 로 사용하기, 에서 사용하며, 에서 사용할수, 를 사용했지만, 을 사용하므로, 을 사용할경우, 로 사용한사람, 를 사용한정의, 로 사용했다는, 를 사용하면서, 만 사용할수, 로 사용하였, 으로 사용할수, 를 사용했을, 가 사용하기, 에서 사용하던, 으로 사용하였, 이 사용하였, 에 사용하던, 로 사용하던, 만 사용하면, 이 사용하기, 을 사용하게, 에 사용할수, 는 사용할수, 으로 사용했다, 까지 사용한로고, 에서 사용할목적, 에서 사용하기, 를 사용하므로, 를 사용하게, 에서 사용하였, 으로 사용하며, 을 사용하는데, 로 사용하여, 에 사용하면, 을 사용하였으나, 은 사용하기, 을 사용해서는, 으로 사용하는, 를 사용한다는점, 을 사용한실험, 을 사용한예, 에 사용하고, 만 사용하였, 에 사용할것, 에서 사용했다, 로 사용했을, 로 사용하다가, 로서 사용하고, 을 사용해야한다, 으로 사용할때, 을 사용할것, 를 사용했으며,, 를 사용함), 으로 사용하던, 에 사용한다, 가 사용할수, 를 사용하는데, 를 사용해왔, 도 사용하는, 에게 사용할수, 이 사용했던, 를 사용하거나, 이 사용하게, 이 사용하고, 을 사용하지만, 을 사용함, 을 사용했기, 로 사용했던, 로 사용하지, 을 사용해야하, 를 사용한적, 에 사용했고, 에 사용했다, 로 사용한것, 으로 사용하였으며, 을 사용하던, 를 사용하다, 를 사용한최초, 이 사용하던, 을 사용한것, 로 사용했고, 를 사용해야하, 에서 사용했던, 에 사용했던, 로 사용할것, 가 사용했던, 를 사용하려고, 에서 사용한것, 은 사용하는, 나 사용할수, 는 사용하기, 를 사용한제품, 으로 사용할경우, 로서 사용하는, 로 사용하도록, 로 사용하며, 를 사용해야한다, 을 사용해보, 를 사용해야만, 을 사용하다가, 을 사용하라는, 를 사용하다가, 가 사용한다, 을 사용하였으며, 에 사용하기, 으로 사용하여, 를 사용한다는것, 는 사용하는, 을 사용함으로써, 로 사용하게, 로 사용하지만, 을 사용하도록, 을 사용한첫, 도 사용하였, 를 사용하던, 으로 사용하다가, 를 사용해야한다고, 을 사용해야했, 을 사용한초기, 에 사용할목적, 으로 사용하게, 를 사용했던, 으로 사용하려고, 에 사용하였, 로 사용할목적, 은 사용할수, 를 사용했기, 을 사용하겠, 를 사용하고자, 를 사용했는데, 이 사용했다, 에 사용하면서, 로 사용했으며,, 만 사용하는, 가 사용하며, 을 사용했는지, 를 사용했음, 을 사용했지만, 까지 사용하던, 만 사용하던, 를 사용했다면, 을 사용했다는, 가 사용하도록, 으로 사용하도록, 이 사용한용어, 를 사용했고, 에 사용하는, 으로 사용하지, 를 사용한실험, 으로 사용했던, 으로 사용하면서, 을 사용함에, 로 사용하는데, 을 사용한점, 로서 사용할수, 으로 사용함으로써, 에게 사용하는, 에 사용하지, 를 사용한다:, 도 사용했다, 을 사용했다고, 을 사용하나,, 을 사용할시, 이 사용한다, 를 사용한다), 을 사용해야한다고, 을 사용한이, 으로 사용한것, 로 사용하려는, 을 사용한데, 로 사용하였으며, 으로 사용했을, 가 사용하던, 를 사용한점, 를 사용했다고, 을 사용했으며,, 을 사용하더라도, 부터 사용했던, 이 사용하며, 를 사용하나,, 까지 사용했던, 을 사용한다는점, 를 사용하자는, 에서 사용하지, 만 사용하고, 로 사용하면, 밖에 사용할수, 에 사용하지만, 을 사용했었다, 를 사용할필요, 로서 사용한다, 를 사용해만들, 을 사용한바, 로서 사용하기, 부터 사용하였, 을 사용할필요, 가 사용하고, 로 사용하려고, 를 사용하여도, 에서 사용하여, 까지 사용할수, 를 사용해야한다는, 를 사용하려면, 를 사용했다는, 가 사용한것, 을 사용하려면, 도 사용하며, 을 사용하려, 을 사용해왔, 를 사용할줄, 을 사용한다는것, 에 사용하였으며, 만 사용하게, 에게 사용하기, 을 사용하다, 처럼 사용한다, 으로 사용한사람, 만 사용한다, 부터 사용하던, 만 사용할것, 도 사용하지, 으로 사용하면, 으로 사용하고자, 를 사용하려는, 를 사용해서는, 를 사용해오, 에 사용했을, 을 사용해야할, 에 사용한것, 을 사용한최초, 을 사용하여야, 를 사용한후, 로 사용할때, 에서 사용하면, 를 사용한다면,, 으로 사용했기, 을 사용한다(, 는 사용하고, 부터 사용하고, 를 사용하자, 이 사용하지, 을 사용해그, 을 사용했는데, 만 사용하며, 도 사용했었다, 으로 사용한혐의, 을 사용한적, 에 사용하여, 을 사용할예정, 으로 사용했다고, 에서 사용하도록, 로 사용하면서, 를 사용하여야, 로 사용했다고, 으로서 사용하는, 를 사용한첫, 에 사용하며, 처럼 사용할수, 으로 사용했으며,, 에게 사용한다, 이 사용한언어, 을 사용함으로, 을 사용한후, 을 사용한작품, 을 사용한공격, 까지 사용하여, 을 사용한사람, 을 사용하여도, 를 사용했는지, 를 사용함에, 에서 사용하거나, 로 사용하려면, 가 사용하게, 도 사용하기, 으로 사용하거나, 부터 사용해온, 을 사용한경우, 으로 사용했으나,, 도 사용하게, 를 사용할권리, 부터 사용하기, 만 사용하여, 으로 사용할것, 으로 사용해왔, 을 사용하자, 를 사용할예정, 으로 사용하였으나, 까지 사용했다, 를 사용하려, 부터 사용하는, 으로 사용할예정, 를 사용할계획, 이 사용한연호, 를 사용하겠, 을 사용해서,, 에서 사용하게, 을 사용함), 로 사용하고자, 에 사용하거나, 를 사용한데, 를 사용한다른, 에 사용할때, 를 사용해,, 가 사용하였, 만 사용하기, 을 사용하려고, 은 사용하고, 을 사용한다), 를 사용해만, 으로 사용하다, 을 사용하되, 를 사용한마지막, 을 사용했음, 에 사용하게, 을 사용한사실, 으로서 사용하고, 로 사용했는데, 을 사용한요리, 처럼 사용하기, 을 사용해,, 가 사용했다, 를 사용해만든, 를 사용한이, 이 사용한것, 를 사용했었다, 을 사용하라고, 로 사용했기, 로 사용했었다, 로 사용할경우, 을 사용한다면,, 을 사용하고자, 가 사용했다는, 를 사용했으나,, 처럼 사용하는, 를 사용하더라도, 를 사용한사례, 으로 사용하지만, 으로 사용해야한다, 로 사용해왔, 에 사용했다고, 를 사용한이유, 을 사용하는지, 로 사용해야한다, 에서 사용한연호, 으로 사용할계획, 을 사용한연구, 에 사용하였으나, 를 사용해서,, 밖에 사용하지, 를 사용한,, 로 사용했지만, 을 사용하려는, 만 사용해야한다, 에게 사용하도록, 로 사용하였으나, 에 사용했으며,, 에 사용할계획, 를 사용해이, 을 사용한이후, 을 사용해오, 에서 사용할경우, 이 사용하도록, 에서 사용할때, 가 사용함), 으로 사용했는데, 이 사용하면서, 까지 사용하는, 을 사용해적, 으로서 사용하기, 으로 사용했지만, 으로 사용했다는, 에 사용함으로써, 를 사용한새로운, 가 사용하지, 를 사용할가능, 를 사용해야할, 에서 사용하였으며, 를 사용하되, 를 사용한경우, 를 사용함으로, 를 사용하느냐, 으로 사용하려, 을 사용한', 을 사용해야만, 으로 사용해온, 에 사용했지만, 이 사용했다고, 부터 사용할수, 를 사용하라, 을 사용한"", 으로 사용함, 을 사용한마지막, 가 사용했다고, 을 사용하였을, 을 사용한다:, 을 사용할권리, 로 사용함으로써, 을 사용한게임, 를 사용할시, 을 사용한다고하, 으로 사용했었다, 처럼 사용하여, 를 사용한요리, 에 사용할경우, 도 사용하지만, 에 사용해야한다, 를 사용해야했, 을 사용할계획, 을 사용하길, 을 사용했다가, 을 사용한팀, 도 사용하여, 를 사용한"", 을 사용한2, 을 사용하느냐, 에서 사용한건흥, 에서 사용한연희, 에서 사용한영안, 에서 사용한황초, 에서 사용한태평, 이 사용한사연호, 에서 사용한가평, 에서 사용한영화, 에서 사용한황시, 에서 사용한건국, 에서 사용한옥형, 에서 사용한건무, 에서 사용한승평, 에서 사용한백작, 에서 사용한건, 에서 사용한태안, 에서 사용한등국, 에서 사용한영락, 에서 사용한영강, 에서 사용한태초, 에서 사용한건평, 에서 사용한경자, 에서 사용한홍시, 에서 사용한천흥, 에서 사용한경시, 에서 사용한건초, 에서 사용한용승, 에서 사용한현시, 에서 사용한태상, 에서 사용한태원, 에서 사용한융안, 에서 사용한의희, 에서 사용한원가, 에게 사용했다, 으로 사용해야하, 로서 사용했다, 으로 사용했으면, 을 사용할가능, 을 사용한비디오"
포,91221,20,2,20,"을 포함, 를 포함, 이 포함, 에 포함, 가 포함, 도 포함, 으로 포함, 만 포함, 로 포함, 까지 포함, 는 포함, 은 포함, 의 포함, 에서 포함, 와 포함, 로서 포함, 에게 포함, 부터 포함, 과 포함, 이나 포함"
인,85339,15,5,21,"으로 인해, 로 인한, 로 인해, 으로 인하, 으로 인한, 로 인하, 이 인한, 에 인하, 의 인하, 에 인해, 의 인해, 은 인해, 에 인한, 를 인하, 을 인하, 는 인하, 대로 인해, 에서 인하, 가 인하, 이 인하, 와 인하"
관,63819,17,5,27,"을 관할, 에 관한, 에 관해, 에 관하, 과 관할, 과 관한, 로 관할, 만 관할, 이 관할, 는 관할, 를 관할, 가 관할, 의 관한, 이 관한, 에 관할, 에서 관할, 의 관할, 도 관할, 까지 관할, 와 관할, 으로 관할, 와 관한, 은 관할, 을 관하, 이 관하, 의 관하, 의 관할리"
위치,60573,12,524,537,"에 위치하며, 에 위치한미국, 에 위치한다, 에 위치하여, 에 위치한사찰, 에 위치해있, 에 위치한나라, 에 위치하고, 가 위치한다, 에 위치하는, 에 위치한서울, 에 위치한공원, 이 위치해있, 에 위치한수, 에 위치하게, 가 위치하여, 이 위치하고, 에 위치한에, 에 위치한지역, 에 위치한현대, 에 위치한2, 에 위치하였, 에 위치한현재, 에 위치해야한다, 에 위치한천문대, 에 위치한부산, 에 위치했던, 가 위치하는, 에 위치한다는것, 에 위치한광역시, 에 위치한중앙, 에 위치한유엔, 가 위치해있, 이 위치한다, 에 위치했다, 에 위치한도쿄, 이 위치한지역, 에 위치한정원, 에 위치한건물, 에 위치한고려, 에 위치한구로, 에 위치한대, 에 위치한두, 에 위치한곳, 에 위치한이, 에 위치한군사, 에 위치한롯데월드, 에 위치한넓, 에 위치한전, 에 위치한독일, 에 위치함, 에 위치한섬나라, 에 위치한섬, 에 위치한산, 에 위치한국가, 에 위치한오스트레일리아, 에 위치한도시, 에 위치한1, 에 위치한비행장, 에 위치한부분, 에 위치하는데, 에 위치한빈, 에 위치한관계, 에 위치한숲, 에 위치하면서, 에 위치한3, 에 위치한,, 에 위치한시, 에 위치한조선, 에 위치한군, 에 위치한미군, 에 위치한신, 에 위치한가톨릭, 에 위치했으며,, 에 위치한세종, 에 위치한종합, 에 위치한대한민국, 가 위치한도시, 에 위치한여러, 가 위치한곳, 에 위치한‘, 에 위치한아파트, 에 위치한기차역, 에 위치한집, 에 위치한기념비, 에 위치한궁전, 에 위치한로마, 에 위치할때, 에 위치한국립, 이 위치하는, 에 위치하기, 에 위치한것, 에 위치한공화국, 에 위치한그, 에 위치한언덕, 에 위치했고, 에 위치했었다, 에 위치한화산섬, 에 위치한고대, 에 위치한교통, 에 위치한별, 에 위치한자신, 에 위치한경기장, 에 위치함에, 에 위치하므로, 에 위치한인천, 에 위치한금, 에 위치한거대, 에 위치한7, 가 위치하게, 도 위치해있, 이 위치했던, 에 위치한자치구, 이 위치하며, 에 위치한상업, 이 위치하게, 에 위치한강남, 에 위치한구이, 가 위치하고, 에 위치한경부선, 에 위치한대구, 에 위치한시립, 에 위치한사립, 에 위치한광주, 이 위치하여, 에 위치한대전, 에 위치한전통, 에 위치한학교, 에 위치한삼, 으로 위치하고, 도 위치한다, 에 위치한유명, 에 위치한교량, 에 위치한전문, 에 위치한경우, 에 위치해,, 에 위치한세계, 에 위치한"", 이 위치한곳, 에 위치한대학교, 에 위치한울산, 에 위치한독립, 에 위치하였으나, 에 위치한', 이 위치하였, 에 위치한점, 에 위치한시설, 에 위치한해양, 에 위치한''', 가 위치하며, 에 위치한대학, 에 위치한자율, 에 위치한공립, 에 위치한명문, 에 위치할수, 에 위치한상급, 에 위치한사, 에 위치한소, 에 위치한마을, 에 위치한거리, 에 위치한공공, 에 위치한해안, 에 위치한한국, 에 위치한4, 에 위치한국제, 에 위치한박물관, 에 위치한옛, 에 위치한기독교, 에 위치한건, 에 위치한서산, 가 위치하였, 에 위치한지리, 에 위치한해발, 에 위치한호수, 에 위치한다는점, 에 위치한까닭, 에 위치한대한, 에 위치한작, 에 위치한시이다, 에 위치한탑, 에 위치하지만, 에 위치한반도, 에 위치한다른, 에 위치한역, 에 위치한더, 에 위치한국제공항, 에 위치한반, 에 위치한높이, 에 위치한개신교, 에 위치한지명, 에 위치한봉우리, 에 위치한세인트, 에 위치한자택, 에 위치한스, 에 위치한산악, 에 위치한데, 으로 위치해있, 에 위치한제, 에 위치한성, 에 위치한이스라엘, 에 위치한이집트, 에 위치한그리스, 에 위치한위성, 에 위치한주로, 에 위치한주이, 에 위치한뉴욕, 에 위치한항구, 에 위치한오, 에 위치한본사, 에 위치했기, 에 위치한성당, 에 위치한주, 로 위치하고, 에 위치한프랑스, 에 위치한영국, 가 위치한것, 에 위치했는데, 에 위치하면, 에 위치한유럽, 에 위치한한, 에 위치한약, 에 위치한광장, 에 위치하였으며, 에 위치한레지옹, 에 위치한역사, 에 위치한마이크, 에 위치했다는, 에 위치한철도, 에 위치한중국, 에 위치한레스토랑, 에 위치한음악, 에 위치한수도, 가 위치했던, 에 위치한알, 에 위치한런던, 에 위치한잉글랜드, 에 위치한현, 에 위치한지방, 에 위치하지, 에 위치한동일본, 에 위치한8, 에 위치하나,, 에 위치한큰, 에 위치한중화민국, 에 위치한세븐일레븐, 에 위치한다(, 에 위치한구, 에 위치한환초, 로 위치해있, 가 위치했다, 이 위치하던, 에 위치한인공, 에 위치함을, 에 위치한쇼핑, 에 위치한읍, 에 위치한연구, 에 위치한바다, 에 위치한많, 에 위치한일본, 에 위치하거나, 에 위치했지만, 에 위치한지자체, 에 위치한러시아, 에 위치한지하, 에 위치함), 에 위치한동굴, 에 위치한빌라, 에 위치한해변, 에 위치한특수, 에 위치한몬트리올, 에 위치한6, 에 위치한천체, 에 위치한공항, 도 위치하고, 에 위치한지구, 에 위치한실내, 에 위치한동물원, 에 위치한고원, 에 위치한밀라노, 에 위치한중부, 에 위치한강, 에 위치한폭포, 에 위치한온천, 에 위치한계곡, 에 위치한스포츠, 에 위치한바, 에 위치한공업, 에 위치한팔, 에 위치한유일, 에 위치한해수욕장, 에 위치한영동선, 에 위치한버스, 에 위치한백제, 에 위치한민간, 에 위치한군도, 에 위치한인구, 에 위치한10, 에 위치한산맥, 에 위치하는지, 에 위치할것, 에 위치했었던, 에 위치한댐, 에 위치한지, 에 위치한요새, 가 위치한지역, 에 위치한회사, 이 위치했다, 에 위치한폴란드, 에 위치한다카마쓰, 에 위치했을, 에 위치한만, 에 위치한자연, 에 위치한프로, 에 위치한철도역, 에 위치한중앙선, 에 위치한도로, 에 위치한긴키, 에 위치한행정, 에 위치한판, 에 위치한스페인, 에 위치한야구장, 에 위치한12, 에 위치한스타드, 에 위치한제도, 에 위치한크로아티아, 에 위치한마셜, 에 위치한서일본, 에 위치한코뮌, 에 위치한주요, 에 위치한5, 에 위치한고개, 에 위치한테, 에 위치한면, 에 위치한다리, 에 위치한도카이, 에 위치한난, 에 위치한아, 에 위치한최초, 에 위치한후, 에 위치한주립, 에 위치한비, 에 위치했다고, 에 위치한항성, 에 위치한왕국, 에 위치하도록, 에 위치한베른, 에 위치한불교, 에 위치한축구, 에 위치한다목, 에 위치한식당, 에 위치한지급시, 에 위치한마천루, 에 위치한공군, 에 위치한상, 에 위치한말, 에 위치한세, 에 위치한놀이, 에 위치한명, 에 위치한구역, 에 위치한빌딩, 에 위치한부대, 에 위치한이곳, 에 위치한오래, 에 위치한백, 에 위치한클럽, 에 위치한사단, 에 위치한산업, 에 위치한극장, 에 위치한스타, 에 위치한중세, 에 위치한미, 에 위치한모든, 에 위치한또, 에 위치한이스타, 에 위치한에스, 에 위치하던, 에 위치한엔, 에 위치한호텔, 에 위치한가장, 에 위치한평라선, 에 위치한경기도, 에 위치한초, 에 위치한말레이시아, 에 위치한왕립, 에 위치한경원선, 에 위치한키리바시, 에 위치한터널, 에 위치한자동차, 에 위치한지하철역, 에 위치한관광지, 에 위치한게, 에 위치한열, 에 위치한노보, 에 위치한포르투갈, 에 위치한새로운, 에 위치한오페라, 에 위치한가상, 에 위치한배, 에 위치한무, 에 위치한대형, 에 위치한파리, 에 위치한인도, 에 위치한도서관, 으로 위치한다, 에 위치한홋카이도, 에 위치한동해선, 이 위치한도시, 에 위치한남, 에 위치한지점, 에 위치한덴마크, 에 위치한호남선, 에 위치한전라선, 에 위치한경전선, 에 위치한태백선, 에 위치한데파르, 에 위치한크, 에 위치한비디오, 에 위치한나, 에 위치한기업, 에 위치한주한, 에 위치한복합, 에 위치한저택, 에 위치한라, 에 위치한이탈리아, 에 위치한아레나, 에 위치한신라, 에 위치한홍콩, 에 위치할예정, 에 위치한신사, 에 위치한전략, 에 위치한미술관, 에 위치한고급, 에 위치한사원, 에 위치한워터, 에 위치한남해고속도로, 에 위치한모카, 에 위치한리, 에 위치한코, 에 위치한적색, 에 위치한정, 에 위치한소규모, 에 위치한하이드, 에 위치한과거, 에 위치한시외버스, 에 위치한경북선, 에 위치한나고야, 에 위치한화산, 에 위치한동, 에 위치한고기압, 에 위치한고고학, 에 위치한코무네, 에 위치한병원, 에 위치한자, 에 위치한이스트, 에 위치한부, 에 위치한상하, 에 위치한독일군, 에 위치한저기압, 에 위치한우크라, 에 위치한중학교, 에 위치한휴양지, 에 위치한'', 에 위치한호남고속도로, 에 위치한키, 에 위치한수도원, 에 위치한지상, 에 위치한지하철, 에 위치한행정동, 에 위치한천주교, 에 위치한시장, 에 위치한지즈, 에 위치한일, 에 위치한규슈, 에 위치한길, 에 위치한공장, 에 위치한벨, 에 위치한네, 에 위치한 , 에 위치한베이징, 에 위치한법정동, 에 위치한시내버스, 에 위치한마천, 에 위치한마을버스, 에 위치한올림픽, 에 위치한근육, 에 위치한요로, 에 위치한캐나다, 에 위치한예술, 에 위치한촌, 에 위치한화력, 에 위치한초고층, 에 위치한시코쿠, 에 위치한고등학교, 에 위치한고속, 에 위치한평택, 에 위치해지세, 에 위치한웸블리, 에 위치한북한, 에 위치한어항, 에 위치한장, 에 위치한김포, 에 위치한워싱턴, 에 위치한큐, 에 위치한교회, 에 위치한초등, 에 위치한산기, 에 위치한컨벤션, 에 위치한베를린, 에 위치한에이, 에 위치한아오이모리, 에 위치한스타디온, 에 위치한경부고속도로, 에 위치한주상, 에 위치한출입구, 에 위치한오다큐, 에 위치한오피스, 에 위치한간토, 에 위치한모스크, 에 위치한무덤, 에 위치한도야마, 에 위치한서해안, 에 위치한삿포로, 에 위치한스위스, 에 위치한다루미, 에 위치한통계, 에 위치한모스크바, 에 위치한사가미, 에 위치한GO, 에 위치한헤이세이, 에 위치한고난, 에 위치한이요, 에 위치한히로시마, 에 위치한지쿠호, 에 위치한구마모토, 에 위치한페나인, 에 위치한퀘벡, 에 위치한under"
말,50133,31,128,316,"을 말한다, 를 말한다, 를 말할때, 을 말하다, 를 말하다, 은 말한다, 고 말했다, 을 말해준다, 라고 말했다, 이라고 말하는, 이라고 말했다, 을 말하면서, 라고 말하면서, 라고 말하여, 로 말하고, 고 말하자, 라고 말하고, 은 말할것, 이라고 말하였, 을 말하며, 고 말할수, 가 말했듯이, 를 말하기, 을 말해주, 만 말할수, 을 말할때, 을 말하는, 고 말하기, 를 말하며, 에서 말한바, 이라고 말한다, 에게 말했다, 라고 말하는, 를 말한다(, 를 말하자면, 에서 말하는, 을 말한다*, 를 말하고, 에서 말하길, 고 말하였, 라고 말할수, 에게 말하였, 이 말한것, 이 말했다, 을 말하고, 라고 말하며, 가 말하는, 에서 말했다, 라고 말한바, 을 말하기, 에서 말하기, 을 말하지만, 도 말하고, 을 말하자면, 고 말하고, 가 말할때, 는 말할것, 를 말하는, 을 말하였, 이라고 말하기, 를 말했다, 을 말하는데, 을 말한것, 라고 말한다, 고 말했지만, 에 말하기, 고 말했다고, 이 말해주, 고 말한바, 으로 말하는, 을 말해봐, 에게 말하고, 가 말하기, 에게 말하기, 이라고 말했다고, 으로 말할때, 으로 말한다, 을 말했다, 는 말한다, 서 말하는, 이 말하는, 에서 말했듯이, 은 말할나위, 라고 말하였, 로 말할수, 로 말하자면, 이라고 말할수, 라고 말할정도, 을 말한다), 라고 말했으며,, 을 말한다(, 은 말하자면, 를 말하면, 라고 말하자, 을 말하는가, 고 말하며, 는 말하기, 이라고 말했으며,, 에게 말할수, 을 말했는데, 가 말한대로, 라고 말했다고, 을 말하자, 라고 말하고는, 라고 말했다는, 을 말하여, 를 말하여, 를 말하므로, 을 말하면, 으로 말한것, 를 말하는데, 고 말한것, 라고 말했고, 으로 말하기, 라고 말하기, 이라고 말한것, 를 말하였, 라고 말했는데, 을 말할수, 에서 말하면, 의 말하는, 를 말하나,, 에게 말하는, 는 말하지, 이 말하기, 을 말함*, 로 말하면, 으로 말하지, 을 말하게, 라고 말한것, 라고 말한적, 도 말하지, 은 말할수, 라고 말했지만, 이 말했던, 고 말한다, 가 말한바, 을 말한적, 라고 말한뒤, 이라고 말하며, 를 말하면서, 은 말하기, 는 말했다, 에게 말하지, 가 말하길, 가 말했던, 이 말하고자, 고 말했는데, 에 말했다, 를 말해준다, 는 말할수, 을 말함), 으로 말하면, 고 말하는, 를 말한다-, 에서 말하고, 도 말할수, 라고 말했던, 와 말하기, 를 말해주, 고 말했다는, 이 말했듯이, 이라고 말한바, 에게 말하여, 이 말한바, 가 말한다, 가 말하였, 이 말한다, 는 말하는, 고 말하면서, 는 말하고, 로 말한다, 으로 말하고, 에게 말한다, 이 말하길, 이라고 말하면서, 도 말했다, 라고 말했을, 가 말한"", 를 말하지, 고 말했고, 를 말할수, 에게 말하길, 로 말하며, 를 말함), 라고 말하면, 으로 말하여, 대로 말하면, 는 말하였, 에서 말한다, 로 말하는, 으로 말했다, 고 말한뒤, 을 말한다', 에게 말하게, 에서 말해지, 에서 말한것, 가 말한것, 라고 말함으로써, 를 말하거나, 고 말할정도, 처럼 말한다, 처럼 말하는, 은 말했다, 을 말하거나, 고 말하여, 을 말하지, 로 말했다, 를 말한다), 에 말한것, 은 말하지, 도 말하였, 이라고 말하고, 도 말하는, 에 말하는, 로 말해지, 가 말했다, 도 말했듯이, 을 말하고자, 로 말하였, 고 말했으며,, 도 말해진다, 도 말한다, 에게 말해주, 에 말하였, 의 말하기, 이 말하고, 으로 말해서,, 가 말하고, 가 말해주, 을 말한다,, 을 말하니, 으로 말해,, 으로 말하자면, 라고 말해지, 으로 말해주, 에서 말한대로, 라고 말하곤, 은 말할필요, 이라고 말했고, 로 말할때, 에게 말한것, 을 말함, 에게 말했고, 라고 말하게, 라고 말한후, 를 말한다*, 가 말한', 라고 말하지만, 에서 말하였, 를 말하지만, 가 말하고자, 까지 말했다, 로 말하기, 를 말하게, 라고 말하지, 도 말해지, 도 말하며, 은 말하고, 을 말했고, 가 말하지, 에게 말했다고, 에 말하지, 고 말하였으며, 에 말할수, 고 말한적, 는 말하자면, 에게 말했던, 으로 말할수, 를 말한것, 처럼 말하고, 를 말함, 라고 말했습니다, 를 말한다》, 라고 말해주, 으로 말하였, 로 말할것, 을 말하라고, 에게 말할때, 을 말했을, 라고 말할때, 에 말하고, 을 말할것, 을 말하므로, 이 말하지, 에서 말하자면, 라고 말해,, 고 말했던, 에게 말하자, 은 말하는, 가 말할수, 와 말하는, 이 말하였, 도 말하기, 에서 말한', 만 말했다, 에서 말할수, 이 말한대로, 으로 말해지, 로 말하지만, 만 말하고, 을 말하라, 은 말하였, 이라고 말했던, 이 말할때, 라고 말하였으며, 고 말했으나,, 이라고 말했지만, 을 말함**, 은 말한다독회, 라고 말했어요, 은 말했는데, 를 말한다오병호, 으로 말하겠, 라고 말해서도둑, 는 말했는데"
